gDBWS - Graphic data export Powder v3.beta  -  21/12/00 10:40:00 AM
2 theta,   I obs,    I calc,  I obs - I calc 
 21.36    348.0      240.0      108.0  
 21.38    323.0      240.0      83.0   
 21.4     362.0      239.0      123.0  
 21.42    319.0      239.0      80.0   
 21.44    334.0      239.0      95.0   
 21.46    390.0      239.0      151.0  
 21.48    394.0      239.0      155.0  
 21.5     390.0      239.0      151.0  
 21.52    340.0      239.0      101.0  
 21.54    412.0      239.0      173.0  
 21.56    384.0      238.0      146.0  
 21.58    392.0      238.0      154.0  
 21.6     351.0      238.0      113.0  
 21.62    430.0      238.0      192.0  
 21.64    397.0      238.0      159.0  
 21.66    389.0      238.0      151.0  
 21.68    380.0      238.0      142.0  
 21.7     456.0      237.0      219.0  
 21.72    495.0      237.0      258.0  
 21.74    584.0      237.0      347.0  
 21.76    679.0      237.0      442.0  
 21.78    830.0      237.0      593.0  
 21.8     1239.0     237.0      2.0    
 21.82    1766.0     237.0      529.0  
 21.84    2047.0     236.0      811.0  
 21.86    1757.0     236.0      521.0  
 21.88    1435.0     236.0      199.0  
 21.9     1067.0     236.0      831.0  
 21.92    923.0      236.0      687.0  
 21.94    550.0      236.0      314.0  
 21.96    422.0      236.0      186.0  
 21.98    425.0      235.0      190.0  
 22.0     407.0      235.0      172.0  
 22.02    421.0      235.0      186.0  
 22.04    382.0      235.0      147.0  
 22.06    359.0      235.0      124.0  
 22.08    384.0      235.0      149.0  
 22.1     380.0      235.0      145.0  
 22.12    359.0      235.0      124.0  
 22.14    338.0      234.0      104.0  
 22.16    331.0      234.0      97.0   
 22.18    343.0      234.0      109.0  
 22.2     327.0      234.0      93.0   
 22.22    344.0      234.0      110.0  
 22.24    324.0      234.0      90.0   
 22.26    305.0      234.0      71.0   
 22.28    338.0      233.0      105.0  
 22.3     319.0      233.0      86.0   
 22.32    354.0      233.0      121.0  
 22.34    308.0      233.0      75.0   
 22.36    317.0      233.0      84.0   
 22.38    345.0      233.0      112.0  
 22.4     314.0      233.0      81.0   
